sample,Acidobacteria,Actinobacteria,Bacteroidetes,Firmicutes,Nitrospirae,Planctomycetes,Proteobacteria,Cyanobacteria,Verrucomicrobia,Fusobacteria,Synergistetes,Fibrobacteres,Deinococcus.Thermus,Spirochaetes,Aquificae,Deferribacteres,Chlorobi,Chloroflexi,Ignavibacteriae,Balneolaeota,Tenericutes
990.KA2U.C.02,0.025316456,0.113924051,0.240506329,0.088607595,0,0,0.518987342,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.03,0.015625,0.125,0.140625,0.125,0,0.015625,0.5625,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.04,0.017241379,0.146551724,0.206896552,0.146551724,0.00862069,0.017241379,0.448275862,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.05,0.020408163,0.132653061,0.234693878,0.06122449,0.010204082,0,0.530612245,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.06,0.016129032,0.096774194,0.14516129,0.129032258,0,0.016129032,0.580645161,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.07,0.02173913,0.108695652,0.108695652,0.152173913,0,0.02173913,0.565217391,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.08,0.033333333,0.133333333,0.133333333,0.066666667,0,0,0.6,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.09,0.015384615,0.107692308,0.153846154,0.246153846,0,0.015384615,0.446153846,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.10,0.010752688,0.161290323,0.182795699,0.139784946,0,0,0.494623656,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.11,0.016666667,0.116666667,0.183333333,0.2,0,0,0.466666667,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.12,0.018518519,0.092592593,0.166666667,0.111111111,0,0,0.592592593,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.13,0.015873016,0.095238095,0.126984127,0.158730159,0,0.015873016,0.571428571,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.14,0.018518519,0.092592593,0.240740741,0.064814815,0,0.009259259,0.564814815,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.15,0.030769231,0.138461538,0.107692308,0.107692308,0,0,0.6,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.16,0.025974026,0.116883117,0.181818182,0.142857143,0,0.012987013,0.506493506,0,0.012987013,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.17,0.013333333,0.133333333,0.16,0.173333333,0,0,0.506666667,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.18,0.011494253,0.114942529,0.218390805,0.137931034,0,0,0.505747126,0,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.19,0.00862069,0.181034483,0.189655172,0.068965517,0,0.00862069,0.534482759,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.21,0.020408163,0.12244898,0.183673469,0.12244898,0,0,0.540816327,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.24,0.016949153,0.101694915,0.203389831,0.06779661,0,0,0.593220339,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.25,0.007518797,0.120300752,0.255639098,0.090225564,0,0,0.518796992,0,0.007518797,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.01,0.010416667,0.135416667,0.1875,0.083333333,0,0,0.572916667,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.02,0.008547009,0.145299145,0.205128205,0.034188034,0,0,0.58974359,0,0.017094017,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.03,0.00877193,0.210526316,0.192982456,0.078947368,0,0.00877193,0.49122807,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.04,0.011111111,0.166666667,0.133333333,0.066666667,0,0,0.544444444,0.066666667,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.05,0.009433962,0.188679245,0.188679245,0.037735849,0,0.009433962,0.556603774,0,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.06,0.008474576,0.177966102,0.194915254,0.076271186,0,0.008474576,0.525423729,0,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.07,0.00862069,0.206896552,0.215517241,0.077586207,0,0,0.482758621,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.08,0.012987013,0.116883117,0.168831169,0.077922078,0,0.025974026,0.584415584,0,0.012987013,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.09,0.015037594,0.142857143,0.240601504,0.097744361,0,0.007518797,0.488721805,0,0.007518797,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.10,0.021978022,0.098901099,0.230769231,0.098901099,0,0.021978022,0.450549451,0.065934066,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.11,0.007751938,0.139534884,0.217054264,0.054263566,0,0.007751938,0.565891473,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.12,0.011494253,0.183908046,0.172413793,0.068965517,0,0,0.540229885,0,0.022988506,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.13,0.015151515,0.166666667,0.106060606,0.090909091,0,0,0.606060606,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.D.14,0.010752688,0.11827957,0.258064516,0.075268817,0,0,0.52688172,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0,0
